Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CLCNKB	hClC-Kb	ENSG00000184908	"Chloride voltage-gated channel Kb"	P51801	1	16040252-16057311	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Voltage-gated channel"	"Bartter syndrome, Deafness, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"kidney: 203.4"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 25.3;Distal tubular cells: 27.7;Early spermatids: 11.9;Ionocytes: 14.7;Late spermatids: 81.0"	"Cancer enriched"	"Detected in some"	9	"renal cancer: 24.9"	"Region enriched"	"Detected in some"	4	"cerebellum: 7.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Kidney - Intercalated cells, Testis - Late spermatids"									HPA057717	Uncertain						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 36: Late spermatids - Unknown function"				"HPA057717: AB_2683509"	"unprognostic (9.05e-4)"	"unprognostic (1.72e-1)"	"unprognostic (2.41e-2)"	"unprognostic (2.68e-3)"	"unprognostic (1.44e-2)"	"unprognostic (1.58e-1)"	"unprognostic (2.10e-4)"	"unprognostic (1.87e-1)"	"unprognostic (3.61e-2)"	"unprognostic (2.31e-1)"	"unprognostic (4.57e-2)"	"unprognostic (1.02e-1)"	"prognostic favorable (1.27e-7)"	"unprognostic (2.04e-2)"	"unprognostic (4.62e-1)"	"unprognostic (1.78e-2)"	"unprognostic (5.14e-2)"
CUBN	"gp280, IFCR, MGA1"	ENSG00000107611	Cubilin	O60494	10	16823966-17129811	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cholesterol metabolism, Endocytosis, Lipid metabolism, Protein transport, Steroid metabolism, Sterol metabolism, Transport"	Receptor	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"kidney: 135.4"	"Group enriched"	"Detected in many"	6	"Proximal enterocytes: 186.0;Proximal tubular cells: 276.0"	"Cancer enriched"	"Detected in some"	15	"renal cancer: 24.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"Rhabdoid: 17.7"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skeletal muscle - Fibroblasts, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA004133, HPA043854"	Enhanced				"Intracellular and membrane"	Receptor	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	2			"HPA004133: AB_2732398, HPA043854: AB_2732510"	"unprognostic (1.75e-1)"	"unprognostic (2.35e-1)"	"unprognostic (2.12e-3)"	"unprognostic (8.61e-4)"	"unprognostic (9.54e-2)"	"unprognostic (2.78e-2)"	"unprognostic (2.88e-2)"	"unprognostic (7.03e-2)"	"unprognostic (1.24e-1)"	"unprognostic (7.16e-2)"	"unprognostic (1.98e-2)"	"unprognostic (2.47e-1)"	"prognostic favorable (1.12e-4)"	"unprognostic (6.24e-3)"	"unprognostic (1.97e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.93e-1)"
PDZK1	"NHERF3, PDZD1"	ENSG00000174827	"PDZ domain containing 1"	Q5T2W1	1	145670852-145708148	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"kidney: 574.6"	"Group enriched"	"Detected in many"	7	"Proximal enterocytes: 268.9;Proximal tubular cells: 767.9"	"Group enriched"	"Detected in many"	4	"liver cancer: 27.6;renal cancer: 44.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"NK-cell: 4.2"	"Lineage enriched"	"Detected in single"	5	"NK-cells: 4.2"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 108.6"	"Breast - Breast glandular cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA005755, HPA006155, CAB008971"	Enhanced		Approved	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 35: Non-specific - DNA binding"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	6	"Nucleoplasm, Vesicles"	Cytosol	"CAB008971: , HPA005755: AB_1855164, HPA006155: AB_1855163"	"unprognostic (4.56e-3)"	"unprognostic (3.07e-1)"	"unprognostic (8.79e-2)"	"unprognostic (4.41e-2)"	"unprognostic (9.15e-2)"	"unprognostic (2.09e-1)"	"unprognostic (2.18e-1)"	"unprognostic (3.42e-1)"	"unprognostic (2.08e-1)"	"unprognostic (3.27e-1)"	"unprognostic (2.34e-2)"	"unprognostic (9.87e-3)"	"prognostic favorable (2.54e-7)"	"unprognostic (9.90e-2)"	"unprognostic (3.02e-1)"	"unprognostic (1.00e-3)"	"unprognostic (8.87e-2)"
PDZK1IP1	"DD96, MAP17, SPAP"	ENSG00000162366	"PDZK1 interacting protein 1"	Q13113	1	47183582-47191044	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"kidney: 1015.7"	"Cell type enriched"	"Detected in many"	4	"Proximal tubular cells: 4797.2"	"Cancer enhanced"	"Detected in all"		"renal cancer: 340.7"	"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 6.6"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 497.6"	"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA014907	Enhanced		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	71	Cytosol	"Nuclear speckles"	"HPA014907: AB_1855166"	"unprognostic (2.97e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.03e-1)"	"unprognostic (9.16e-2)"	"prognostic unfavorable (6.92e-4)"	"unprognostic (8.14e-3)"	"unprognostic (2.32e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.65e-1)"	"unprognostic (2.31e-1)"	"prognostic unfavorable (3.45e-4)"	"unprognostic (2.64e-2)"	"unprognostic (7.90e-3)"	"unprognostic (1.22e-1)"	"unprognostic (2.07e-1)"	"unprognostic (1.75e-3)"	"unprognostic (1.89e-1)"
PTGER1	EP1	ENSG00000160951	"Prostaglandin E receptor 1"	P34995	19	14472466-14475354	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"kidney: 30.1"	"Cell type enriched"	"Detected in some"	16	"Collecting duct cells: 83.6"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 4.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Neuroblastoma: 1.6"	"Stomach - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 6: Non-specific - Immune response"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 48: Smooth muscle cells - Signal transduction"					"unprognostic (3.44e-2)"	"unprognostic (3.31e-1)"	"unprognostic (2.68e-1)"	"unprognostic (3.50e-4)"	"unprognostic (8.69e-2)"	"unprognostic (5.58e-2)"	"unprognostic (2.39e-2)"	"unprognostic (3.19e-2)"	"unprognostic (2.05e-1)"	"unprognostic (3.53e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.42e-1)"	"unprognostic (7.74e-8)"	"unprognostic (1.19e-1)"	"unprognostic (4.41e-2)"	"unprognostic (4.27e-3)"	"unprognostic (4.88e-2)"
RNF212B	C14orf164	ENSG00000215277	"Ring finger protein 212B"	A8MTL3	14	23185316-23273477	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"kidney: 25.0"	"Group enriched"	"Detected in some"	4	"Early spermatids: 59.4;Spermatocytes: 93.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Testis - Spermatocytes"	"Not detected"	"Not detected"							HPA053574	Uncertain						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 51: Neurons - Mixed function"	"Cluster 41: Non-specific - Nucleosome assembly"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"				"HPA053574: AB_2682195"	"unprognostic (2.88e-1)"	"unprognostic (2.17e-1)"	"unprognostic (4.65e-1)"	"unprognostic (8.54e-2)"	"unprognostic (1.30e-1)"	"unprognostic (4.79e-1)"	"unprognostic (4.48e-2)"	"unprognostic (2.98e-2)"	"unprognostic (3.82e-1)"	"unprognostic (1.83e-2)"	"unprognostic (4.96e-3)"	"unprognostic (4.45e-1)"	"unprognostic (7.33e-5)"	"unprognostic (9.60e-2)"	"unprognostic (3.40e-1)"	"unprognostic (7.56e-2)"	"unprognostic (5.39e-3)"
SLCO4C1	"OATP-H, OATP4C1, OATPX, SLC21A20"	ENSG00000173930	"Solute carrier organic anion transporter family member 4C1"	Q6ZQN7	5	102233986-102296284	"Predicted membrane proteins, Transporters"	"Differentiation, Ion transport, Spermatogenesis, Transport"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"kidney: 40.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 42.5;Early spermatids: 26.3;NK-cells: 17.3;Proximal tubular cells: 25.1"	"Cancer enriched"	"Detected in many"	5	"renal cancer: 22.4"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 9.5;neutrophil: 9.8"	"Group enriched"	"Detected in many"	5	"granulocytes: 9.8;NK-cells: 2.6;T-cells: 3.8"	"Cancer enhanced"	"Detected in some"		"Kidney cancer: 7.8"	"Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA058249			Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		"Plasma membrane"	"Nucleoplasm, Cytosol"	"HPA058249: "	"unprognostic (1.63e-2)"	"unprognostic (2.47e-2)"	"unprognostic (4.48e-4)"	"unprognostic (5.70e-6)"	"unprognostic (7.43e-2)"	"unprognostic (7.71e-3)"	"unprognostic (3.24e-3)"	"unprognostic (2.05e-3)"	"unprognostic (2.13e-1)"	"unprognostic (7.12e-2)"	"unprognostic (3.87e-3)"	"unprognostic (5.83e-2)"	"prognostic favorable (1.12e-4)"	"unprognostic (3.29e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.91e-2)"	"unprognostic (8.22e-2)"
ATP6V0D2	"ATP6D2, FLJ38708, VMA6"	ENSG00000147614	"ATPase H+ transporting V0 subunit d2"	Q8N8Y2	8	85987323-86154225	"Metabolic proteins, Predicted intracellular proteins"	"Hydrogen ion transport, Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"kidney: 58.3"	"Cell type enriched"	"Detected in some"	17	"Distal tubular cells: 270.5"	"Cancer enriched"	"Detected in many"	9	"renal cancer: 36.7"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"skin cancer: 5.3;testis cancer: 5.3"	"Kidney - Intercalated cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA055327, HPA058496"	Enhanced		Approved	Vesicles			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 6: Non-specific - Immune response"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 58: Macrophages - Innate immune response"	11	Vesicles		"HPA055327: AB_2682784, HPA058496: "	"unprognostic (3.79e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.22e-1)"	"unprognostic (8.50e-2)"	"unprognostic (8.43e-3)"	"unprognostic (5.36e-5)"	"unprognostic (4.02e-2)"	"unprognostic (1.16e-1)"	"unprognostic (7.75e-3)"	"unprognostic (2.32e-2)"	"unprognostic (1.61e-1)"	"prognostic favorable (2.20e-6)"	"unprognostic (8.58e-2)"	"unprognostic (1.77e-2)"	"unprognostic (3.67e-1)"	"unprognostic (1.97e-2)"
CLEC18C	"MGC34761, MRCL3"	ENSG00000157335	"C-type lectin domain family 18 member C"	Q8NCF0	16	70173322-70187361	"Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	4	"kidney: 17.3"	"Cell type enriched"	"Detected in some"	12	"Proximal tubular cells: 21.9"	"Cancer enriched"	"Detected in single"	9	"renal cancer: 1.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	29	"lung cancer: 4.9"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"									HPA048976	Uncertain				"Secreted to blood"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 15: Non-specific - Transcription"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA048976: AB_2680582"		"unprognostic (3.90e-1)"		"unprognostic (3.03e-1)"	"unprognostic (1.20e-4)"					"unprognostic (5.55e-2)"	"unprognostic (5.72e-3)"	"unprognostic (2.92e-1)"	"unprognostic (7.64e-2)"	"unprognostic (3.79e-2)"	"unprognostic (3.61e-3)"		"unprognostic (6.98e-2)"
CYS1		ENSG00000205795	"Cystin 1"	Q717R9	2	10056473-10080944	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"kidney: 121.5"	"Group enriched"	"Detected in many"	4	"Cholangiocytes: 34.3;Collecting duct cells: 44.7;Distal tubular cells: 36.9;Muller glia cells: 40.9;Proximal tubular cells: 43.7"	"Cancer enhanced"	"Detected in many"		"renal cancer: 46.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 5.9"	"Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 8: Immune cells - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"					"unprognostic (8.48e-2)"	"unprognostic (8.00e-2)"	"unprognostic (9.17e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.00e-2)"	"unprognostic (2.80e-1)"	"unprognostic (1.56e-1)"	"unprognostic (5.71e-2)"	"unprognostic (1.94e-2)"	"unprognostic (9.53e-2)"	"unprognostic (7.05e-2)"	"unprognostic (7.03e-2)"	"prognostic favorable (1.27e-5)"	"unprognostic (2.19e-3)"	"unprognostic (1.47e-1)"	"unprognostic (8.93e-2)"	"unprognostic (1.20e-2)"
FXYD2	"ATP1G1, HOMG2, MGC12372"	ENSG00000137731	"FXYD domain containing ion transport regulator 2"	P54710	11	117800844-117828698	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport"		"Disease variant, FDA approved drug targets, Primary hypomagnesemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"kidney: 3540.9"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 1055.0;Distal tubular cells: 4293.6;Ductal cells: 1077.7;Proximal tubular cells: 4148.6"	"Cancer enriched"	"Detected in some"	8	"renal cancer: 49.9"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"memory CD8 T-cell: 14.8;naive CD4 T-cell: 5.1;naive CD8 T-cell: 4.4;NK-cell: 9.6;plasmacytoid DC: 3.8"	"Group enriched"	"Detected in many"	7	"dendritic cells: 3.8;NK-cells: 9.6;T-cells: 14.8"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 220.9;Uterine cancer: 89.5"	"Liver - Cholangiocyte, Stomach - Fibroblasts"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in some"	5	"spinal cord: 30.5"	"HPA064218, HPA068838"	Supported		Approved	Mitochondria			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		Mitochondria		"HPA064218: AB_2685214, HPA068838: AB_2686047"	"unprognostic (4.11e-4)"	"unprognostic (1.14e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.36e-3)"	"unprognostic (1.09e-3)"	"unprognostic (2.30e-2)"	"unprognostic (3.65e-2)"	"unprognostic (4.62e-1)"	"unprognostic (4.01e-2)"	"unprognostic (4.91e-2)"	"unprognostic (1.24e-2)"	"unprognostic (2.64e-1)"	"prognostic favorable (3.23e-9)"	"unprognostic (3.22e-3)"	"unprognostic (4.38e-2)"	"unprognostic (4.62e-1)"	"unprognostic (3.00e-2)"
LYG1	"LYGA1, SALW1939"	ENSG00000144214	"Lysozyme g1"	Q8N1E2	2	99284238-99304742	"Predicted secreted proteins"		"Glycosidase, Hydrolase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"kidney: 22.9"	"Cell type enriched"	"Detected in some"	7	"Proximal tubular cells: 190.1"	"Cancer enriched"	"Detected in many"	15	"renal cancer: 31.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"												"Secreted in other tissues"	Enzyme	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 37: Neurons - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	3				"unprognostic (1.53e-2)"	"unprognostic (3.13e-2)"	"unprognostic (1.53e-2)"	"unprognostic (3.73e-1)"	"unprognostic (9.74e-2)"	"unprognostic (3.76e-4)"	"unprognostic (6.94e-4)"	"unprognostic (2.58e-2)"	"unprognostic (4.72e-2)"	"unprognostic (9.74e-3)"	"unprognostic (5.01e-2)"	"unprognostic (1.06e-2)"	"prognostic favorable (8.44e-4)"	"unprognostic (1.31e-1)"	"unprognostic (2.58e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.31e-3)"
SLC16A4	"MCT4, MCT5"	ENSG00000168679	"Solute carrier family 16 member 4"	O15374	1	110362851-110391082	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Symport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"kidney: 119.6"	"Cell type enhanced"	"Detected in many"		"Collecting duct cells: 56.4;Extravillous trophoblasts: 39.1;Proximal tubular cells: 154.6"	"Cancer enhanced"	"Detected in all"		"renal cancer: 35.1"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"memory B-cell: 1.5"	"Lineage enriched"	"Detected in single"	4	"B-cells: 1.5"	"Cancer enhanced"	"Detected in all"		"Kidney cancer: 31.1"	"Colon - Enteric glia cells, Heart muscle - Fibroblasts, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Fibroblasts, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA046986, HPA060163"	Approved		Approved	"Microtubules,Cytokinetic bridge,Cytosol"			Yes	NA			"Cluster 18: Non-specific - Translation"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		"Microtubules, Cytosol"	"Cytokinetic bridge"	"HPA046986: AB_2679892, HPA060163: "	"unprognostic (2.04e-1)"	"unprognostic (1.69e-1)"	"unprognostic (2.56e-1)"	"unprognostic (2.77e-3)"	"unprognostic (1.53e-1)"	"unprognostic (2.22e-1)"	"unprognostic (2.00e-2)"	"unprognostic (7.94e-2)"	"unprognostic (2.29e-1)"	"unprognostic (1.81e-1)"	"unprognostic (1.70e-2)"	"unprognostic (1.50e-1)"	"prognostic favorable (1.69e-4)"	"unprognostic (3.68e-2)"	"unprognostic (9.16e-2)"	"unprognostic (1.71e-2)"	"unprognostic (9.46e-2)"
SLC17A3	NPT4	ENSG00000124564	"Solute carrier family 17 member 3"	O00476	6	25833066-25882286	"Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"kidney: 158.4"	"Cell type enriched"	"Detected in some"	10	"Proximal tubular cells: 149.3"	"Cancer enriched"	"Detected in some"	17	"renal cancer: 57.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	18	"Kidney cancer: 44.2"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"					"unprognostic (5.31e-3)"				"unprognostic (1.56e-2)"		"unprognostic (2.51e-1)"	"unprognostic (4.65e-2)"			"unprognostic (5.05e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.34e-1)"	"unprognostic (1.34e-1)"	"unprognostic (4.49e-1)"	
