Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
PAX2	PAX-2	ENSG00000075891	"Paired box 2"	Q02962	10	100735396-100829944	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"epididymis: 29.0;kidney: 83.0"	"Group enriched"	"Detected in some"	4	"Collecting duct cells: 134.2;Glandular and luminal cells: 231.1"	"Group enriched"	"Detected in some"	19	"endometrial cancer: 6.7;ovarian cancer: 7.0;renal cancer: 14.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Kidney cancer: 17.9;ovarian cancer: 5.4;Rhabdoid: 10.8;Uterine cancer: 8.5"		"Group enriched"	"Detected in some"	9	"cerebellum: 1.3;pons and medulla: 3.4"	"Group enriched"	"Detected in some"	6	"cerebellum: 5.2;medulla oblongata: 7.7;spinal cord: 6.9"	"CAB013024, HPA047704, HPA070751"	Enhanced		Supported	Nucleoplasm	"Intracellular and membrane"	"Developmental protein"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	2	Nucleoplasm		"CAB013024: AB_2533990, HPA047704: AB_2636861, HPA070751: AB_2686305"	"unprognostic (3.98e-2)"	"unprognostic (9.55e-2)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (4.56e-4)"	"unprognostic (4.85e-2)"	"unprognostic (5.54e-1)"	"unprognostic (1.91e-1)"	"unprognostic (2.05e-1)"		"unprognostic (1.24e-2)"	"unprognostic (6.59e-2)"	"unprognostic (9.18e-2)"	"unprognostic (3.30e-3)"	"unprognostic (3.67e-1)"	"unprognostic (1.97e-1)"	"unprognostic (6.34e-2)"	"unprognostic (8.26e-2)"
SALL3	ZNF796	ENSG00000256463	"Spalt like transcription factor 3"	Q9BXA9	18	78979818-79002677	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 9.0;kidney: 3.1;prostate: 5.7;vagina: 7.4"	"Group enriched"	"Detected in some"	4	"Astrocytes: 24.2;Bipolar cells: 13.3;Cone photoreceptor cells: 32.3;Horizontal cells: 12.0;Oligodendrocyte precursor cells: 19.8;Oocytes: 20.6"	"Cancer enriched"	"Detected in some"	6	"glioma: 6.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Intercalated cells, Prostate - Prostate basal glandular cells, Testis - Spermatogonia"	"Region enriched"	"Detected in many"	4	"olfactory bulb: 12.5"	"Low region specificity"	"Detected in many"			HPA016656	Uncertain						NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA016656: AB_1856546"	"unprognostic (3.96e-2)"	"unprognostic (3.41e-3)"			"unprognostic (8.16e-2)"	"unprognostic (1.87e-2)"		"unprognostic (2.37e-1)"	"unprognostic (4.23e-1)"			"unprognostic (2.12e-1)"		"unprognostic (1.11e-1)"	"unprognostic (3.22e-1)"	"unprognostic (5.86e-3)"	
SSTR5		ENSG00000162009	"Somatostatin receptor 5"	P35346	16	1072747-1081454	"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"adrenal gland: 2.4;heart muscle: 6.7;kidney: 2.8;pituitary gland: 7.1"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in single"		"hypothalamus: 2.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gastric cancer: 5.6"	"Heart muscle - Cardiomyocytes, Pancreas - Beta cells"	"Group enriched"	"Detected in some"	5	"basal ganglia: 4.1;hypothalamus: 2.3"	"Low region specificity"	"Detected in many"			HPA066503			Supported	"Plasma membrane"			NA	NA				"Cluster 30: Heart muscle - Heart development"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 2: Mucus-secreting cells - Unknown function"		3	"Plasma membrane"		"HPA066503: AB_2685679"		"unprognostic (2.16e-2)"	"unprognostic (7.31e-2)"		"unprognostic (3.69e-2)"	"unprognostic (2.39e-2)"		"unprognostic (2.14e-1)"			"unprognostic (9.89e-3)"	"unprognostic (1.72e-2)"	"unprognostic (1.72e-2)"	"unprognostic (2.06e-1)"	"unprognostic (2.05e-1)"		"unprognostic (4.09e-2)"
TMEM171	PRP2	ENSG00000157111	"Transmembrane protein 171"	Q8WVE6	5	73120569-73131809	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"intestine: 34.4;kidney: 10.4;lymphoid tissue: 14.0;stomach 1: 24.7;thyroid gland: 30.2"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 26.6;Cholangiocytes: 34.3;Distal enterocytes: 98.6;Paneth cells: 53.8;Proximal enterocytes: 45.5;Undifferentiated cells: 49.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	10	"MAIT T-cell: 24.1;memory CD8 T-cell: 8.2"	"Lineage enriched"	"Detected in single"	89	"T-cells: 24.1"	"Cancer enhanced"	"Detected in many"		"skin cancer: 26.1"	"Colon - Colon enterocytes, Stomach - Parietal cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"spinal cord: 4.9"	HPA042308	Approved						NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 5: Enterocytes - Absorption"				"HPA042308: AB_10796901"	"unprognostic (7.34e-2)"	"unprognostic (4.13e-2)"	"unprognostic (1.67e-1)"	"unprognostic (7.74e-3)"	"unprognostic (2.81e-5)"	"unprognostic (1.12e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.44e-3)"	"unprognostic (1.77e-1)"	"unprognostic (1.85e-1)"	"unprognostic (4.20e-2)"	"unprognostic (1.22e-1)"	"prognostic favorable (3.93e-10)"	"unprognostic (6.13e-3)"	"unprognostic (2.43e-1)"	"unprognostic (9.10e-3)"	"unprognostic (1.57e-1)"
TMEM252	"C9orf71, MGC34760"	ENSG00000181778	"Transmembrane protein 252"	Q8N6L7	9	68536580-68540883	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"intestine: 21.4;kidney: 34.4"	"Cell type enhanced"	"Detected in some"		"Glandular and luminal cells: 5.6;Proximal enterocytes: 23.1;Proximal tubular cells: 11.2"	"Cancer enriched"	"Detected in many"	17	"renal cancer: 35.7"	"Region enhanced"	"Detected in single"		"cerebellum: 2.6"	"Immune cell enriched"	"Detected in single"	8	"neutrophil: 4.1"	"Lineage enriched"	"Detected in single"	40	"granulocytes: 4.1"	"Group enriched"	"Detected in some"	7	"ovarian cancer: 1.0;Uterine cancer: 2.3"	"Adipose subcutaneous - Smooth muscle cells, Prostate - Smooth muscle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA079457	Enhanced						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 22: Proximal enterocytes - Digestion"	4			"HPA079457: "	"unprognostic (2.64e-1)"		"unprognostic (3.28e-3)"	"unprognostic (3.72e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.53e-2)"	"unprognostic (4.00e-2)"	"unprognostic (7.79e-3)"		"unprognostic (6.47e-2)"	"unprognostic (1.64e-2)"	"unprognostic (6.42e-2)"	"prognostic favorable (1.75e-7)"	"unprognostic (7.63e-2)"	"unprognostic (6.15e-2)"	"unprognostic (7.66e-2)"	"unprognostic (2.50e-1)"
TNFRSF11B	"OCIF, OPG, TR1"	ENSG00000164761	"TNF receptor superfamily member 11b"	O00300	8	118923557-118951885	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"	Apoptosis	Receptor	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"kidney: 28.8;thyroid gland: 98.8"	"Cell type enhanced"	"Detected in many"		"Breast glandular cells: 129.2;Collecting duct cells: 64.2;Mesothelial cells: 80.4;Pancreatic endocrine cells: 32.3;Proximal tubular cells: 106.7"	"Cancer enhanced"	"Detected in all"		"renal cancer: 22.7"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	40	"plasmacytoid DC: 4.0"	"Lineage enriched"	"Detected in single"	40	"dendritic cells: 4.0"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 54.6"	"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034939, HPA058613"	Approved		Approved	"Nucleoplasm,Nucleoli,Golgi apparatus"	"Secreted in other tissues"	Receptor	NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 17: Breast glandular cells - Lactation"	3	"Golgi apparatus"	"Nucleoplasm, Nucleoli"	"CAB034939: , HPA058613: "	"unprognostic (1.39e-2)"	"prognostic unfavorable (6.22e-4)"	"unprognostic (5.27e-2)"	"unprognostic (2.33e-2)"	"unprognostic (4.27e-3)"	"unprognostic (1.10e-3)"	"unprognostic (1.21e-3)"	"unprognostic (5.50e-2)"	"unprognostic (9.94e-2)"	"unprognostic (6.32e-2)"	"unprognostic (3.53e-2)"	"unprognostic (2.43e-1)"	"prognostic favorable (6.79e-4)"	"unprognostic (1.32e-2)"	"unprognostic (4.52e-2)"	"unprognostic (1.61e-3)"	"prognostic unfavorable (3.88e-4)"
UNC5CL	"MGC34763, ZUD"	ENSG00000124602	"Unc-5 family C-terminal like"	Q8IV45	6	41026895-41039221	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"intestine: 36.0;kidney: 57.0;liver: 51.5;pancreas: 35.1;stomach 1: 23.0"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 34.3;Ductal cells: 35.2;Exocrine glandular cells: 83.8;Gastric mucus-secreting cells: 37.7;Hepatocytes: 24.3;Proximal enterocytes: 32.5;Proximal tubular cells: 42.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA015725	Enhanced		Approved	Centrosome			NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	5	Centrosome		"HPA015725: AB_2669283"	"unprognostic (1.10e-2)"	"unprognostic (3.59e-2)"	"unprognostic (1.60e-1)"	"unprognostic (2.57e-1)"	"unprognostic (7.87e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.16e-1)"	"unprognostic (8.55e-3)"	"unprognostic (3.58e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.20e-1)"	"unprognostic (6.67e-2)"	"unprognostic (9.30e-2)"	"unprognostic (2.35e-1)"	"unprognostic (2.31e-1)"	"unprognostic (1.19e-1)"	"unprognostic (5.60e-6)"
ACAA1	Lnc-Myd88	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	3	38103129-38137242	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"kidney: 204.7;liver: 638.8"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 388.0;Hepatocytes: 782.2;Proximal enterocytes: 422.5;Proximal tubular cells: 523.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA006764, HPA007244"	Enhanced		Supported	Peroxisomes			NA	NA		4700000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	3	Peroxisomes		"HPA006764: AB_1078085, HPA007244: AB_1078084"	"prognostic favorable (3.00e-4)"	"unprognostic (5.57e-2)"	"unprognostic (4.54e-2)"	"prognostic favorable (7.53e-4)"	"unprognostic (2.63e-1)"	"prognostic favorable (1.23e-4)"	"unprognostic (9.35e-3)"	"unprognostic (2.91e-2)"	"unprognostic (8.11e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.24e-1)"	"unprognostic (4.90e-1)"	"prognostic favorable (6.99e-9)"	"unprognostic (1.72e-1)"	"unprognostic (1.99e-1)"	"unprognostic (2.50e-2)"	"unprognostic (1.65e-2)"
ACAD11	FLJ12592	ENSG00000240303	"Acyl-CoA dehydrogenase family member 11"	Q709F0	3	132558138-132660082	"Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"choroid plexus: 46.2;kidney: 62.1;liver: 100.5"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 4.5;Plasma cells: 4.3;Syncytiotrophoblasts: 7.9"	"Cancer enhanced"	"Detected in single"		"renal cancer: 1.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048317	Enhanced						NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 49: Non-specific - Transcription"	1			"HPA048317: AB_2680354"	"unprognostic (5.04e-2)"	"unprognostic (1.69e-1)"	"unprognostic (1.41e-1)"	"unprognostic (3.31e-2)"	"unprognostic (3.36e-1)"	"unprognostic (2.69e-4)"	"unprognostic (1.20e-1)"	"unprognostic (2.85e-2)"	"unprognostic (2.40e-1)"	"unprognostic (5.90e-2)"	"unprognostic (5.86e-2)"	"unprognostic (5.68e-2)"	"unprognostic (1.06e-3)"	"unprognostic (6.01e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.93e-1)"
ACY3	"ACY-3, HCBP1, MGC9740"	ENSG00000132744	"Aminoacylase 3"	Q96HD9	11	67642555-67650730	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Host-virus interaction"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 75.4;kidney: 56.6;liver: 33.0;pancreas: 21.5"	"Group enriched"	"Detected in many"	6	"Proximal enterocytes: 256.8;Proximal tubular cells: 433.6"	"Cancer enhanced"	"Detected in many"		"renal cancer: 24.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"non-classical monocyte: 34.3"	"Group enriched"	"Detected in many"	5	"dendritic cells: 8.7;monocytes: 34.3"	"Cancer enhanced"	"Detected in many"		"lymphoma: 18.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - T-cells"	"Low region specificity"	"Detected in all"							"HPA039219, HPA048187"	Enhanced						NA	NA		13000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	15			"HPA039219: AB_10671872, HPA048187: AB_2680306"	"unprognostic (8.37e-3)"	"unprognostic (1.29e-1)"	"unprognostic (1.04e-1)"	"prognostic favorable (4.80e-4)"	"unprognostic (1.07e-1)"	"unprognostic (1.99e-2)"	"unprognostic (1.38e-2)"	"unprognostic (1.43e-1)"	"unprognostic (7.37e-4)"	"unprognostic (2.44e-3)"	"unprognostic (1.15e-1)"	"unprognostic (3.21e-1)"	"unprognostic (2.63e-3)"	"unprognostic (1.07e-1)"	"unprognostic (8.24e-2)"	"unprognostic (2.68e-2)"	"unprognostic (1.48e-3)"
ADGRF1	"GPR110, hGPCR36, PGR19"	ENSG00000153292	"Adhesion G protein-coupled receptor F1"	Q5T601	6	46997708-47042350	"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"esophagus: 17.0;kidney: 19.7;urinary bladder: 41.0"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 62.2;Ciliated cells: 66.8;Club cells: 124.5;Collecting duct cells: 101.1;Glandular and luminal cells: 55.9;Ionocytes: 157.6"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 62.2"	"Lung - Alveolar cells type 2, Pancreas - Ductal cells, Prostate - Urothelial cells, Stomach - Gastric mucous cells, Testis - Sertoli cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA038438	Approved				"Secreted - unknown location"	Receptor	NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 35: Respiratory epithelial cells - Unknown function"				"HPA038438: AB_10672645"	"unprognostic (4.83e-4)"	"unprognostic (1.38e-1)"	"unprognostic (1.64e-1)"	"unprognostic (6.71e-3)"	"unprognostic (1.95e-3)"	"unprognostic (3.02e-3)"	"unprognostic (7.76e-2)"	"unprognostic (2.63e-2)"	"unprognostic (2.90e-1)"	"unprognostic (4.20e-2)"	"unprognostic (3.64e-3)"	"unprognostic (1.99e-1)"	"prognostic favorable (1.35e-5)"	"unprognostic (7.41e-2)"	"unprognostic (8.39e-2)"	"unprognostic (1.76e-1)"	"unprognostic (1.08e-2)"
AGMAT	FLJ23384	ENSG00000116771	Agmatinase	Q9BSE5	1	15571699-15585051	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Putrescine biosynthesis, Spermidine biosynthesis"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"kidney: 129.1;liver: 60.1;skeletal muscle: 33.0"	"Cell type enriched"	"Detected in many"	4	"Proximal tubular cells: 401.6"	"Group enriched"	"Detected in all"	5	"colorectal cancer: 18.5;liver cancer: 25.3;renal cancer: 11.2;stomach cancer: 11.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"B-cells: 4.1;T-cells: 8.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 20.7"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA026443, HPA028321"	Enhanced						NA	NA		240000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 48: Non-specific - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA026443: AB_1844644, HPA028321: AB_10600779"	"unprognostic (2.27e-2)"	"unprognostic (3.45e-1)"	"unprognostic (1.79e-3)"	"unprognostic (3.60e-2)"	"unprognostic (8.72e-2)"	"unprognostic (6.66e-3)"	"unprognostic (9.48e-2)"	"unprognostic (1.19e-2)"	"unprognostic (2.06e-2)"	"unprognostic (2.37e-2)"	"unprognostic (1.13e-2)"	"unprognostic (2.35e-1)"	"prognostic favorable (5.13e-4)"	"unprognostic (4.43e-3)"	"unprognostic (2.44e-1)"	"unprognostic (1.33e-1)"	"unprognostic (2.45e-2)"
ATP12A	"ATP1AL1, H-K-ATPase, HK"	ENSG00000075673	"ATPase H+/K+ transporting non-gastric alpha2 subunit"	P54707	13	24680408-24712472	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Hydrogen ion transport, Ion transport, Potassium transport, Sodium transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"esophagus: 10.8;kidney: 5.2;lymphoid tissue: 14.4;placenta: 5.4;skin 1: 6.0"	"Group enriched"	"Detected in some"	10	"Basal respiratory cells: 170.2;Club cells: 58.6;Ionocytes: 212.8"	"Cancer enhanced"	"Detected in many"		"testis cancer: 12.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"testis cancer: 4.4"	"Lung - Respiratory ciliated cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA039526	Approved		Approved	"Plasma membrane,Actin filaments,Cytosol"			NA	NA				"Cluster 29: Squamous epithelium - Innate immune response"		"Cluster 55: Lymphoma - Immune response"	"Cluster 35: Respiratory epithelial cells - Unknown function"		"Plasma membrane, Actin filaments"	Cytosol	"HPA039526: AB_10673534"	"unprognostic (8.33e-3)"	"unprognostic (3.58e-2)"	"unprognostic (2.93e-1)"	"unprognostic (5.21e-3)"	"unprognostic (2.58e-1)"	"unprognostic (1.21e-2)"		"unprognostic (8.03e-3)"	"unprognostic (2.64e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.18e-1)"	"unprognostic (3.39e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.67e-1)"	"unprognostic (6.80e-2)"	"unprognostic (8.22e-3)"
